paper_id,title,authors,venue,year,url,abstract,filter_score,filter_relevant,filter_keywords,has_coding_task,extraction_confidence,extraction_reason,task_summary,participant_skill_level,programming_language,programming_domain,programming_sub_domain,task_type,code_size_scope,evaluation_metrics,tools_environment,research_focus,is_programming_related,is_ai_related,quality_confidence,quality_completeness,quality_consistency,quality_overall,processing_time,error_message
QJV982R2,Studying the effect of AI Code Generators on Supporting Novice Learners in Introductory Programming,"Kazemitabaar, Majeed; Chow, Justin; Ma, Carl Ka To; Ericson, Barbara J.; Weintrop, David; Grossman, Tovi",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3580919,"AI code generators like OpenAI Codex have the potential to assist novice programmers by generating code from natural language descriptions, however, over-reliance might negatively impact learning and retention. To explore the implications that AI code generators have on introductory programming, we conducted a controlled experiment with 69 novices (ages 10-17). Learners worked on 45 Python code-authoring tasks, for which half of the learners had access to Codex, each followed by a code-modification task. Our results show that using Codex significantly increased code-authoring performance (1.15x increased completion rate and 1.8x higher scores) while not decreasing performance on manual code-modification tasks. Additionally, learners with access to Codex during the training phase performed slightly better on the evaluation post-tests conducted one week later, although this difference did not reach statistical significance. Of interest, learners with higher Scratch pre-test scores performed significantly better on retention post-tests, if they had prior access to Codex.",1.0,True,"programming, code, programmer, code generators, ai code, experiment, evaluation, learning",True,0.9,"Code-authoring tasks in Python based on natural language descriptions, followed by code-modification tasks","Participants engaged in code-authoring tasks in Python based on natural language descriptions, followed by code-modification tasks.",Beginner,"Python, OpenAI Codex",Artificial Intelligence/ML,Natural Language Programming,Feature Development,Module,"Completion rate and scores for code-authoring tasks, performance on manual code-modification tasks, retention measured through evaluation post-tests",OpenAI Codex,Effectiveness of AI code generation and modification tasks,True,True,0.9,1.0,1.0,0.95,7.186152935028076,
AIVZRTV5,?What It Wants Me To Say?: Bridging the Abstraction Gap Between End-User Programmers and Code-Generating Large Language Models,"Liu, Michael Xieyang; Sarkar, Advait; Negreanu, Carina; Zorn, Benjamin; Williams, Jack; Toronto, Neil; Gordon, Andrew D.",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3580817,"Code-generating large language models map natural language to code. However, only a small portion of the infinite space of naturalistic utterances is effective at guiding code generation. For non-expert end-user programmers, learning this is the challenge of abstraction matching. We examine this challenge in the specific context of data analysis in spreadsheets, in a system that maps the user’s natural language query to Python code using the Codex generator, executes the code, and shows the result. We propose grounded abstraction matching, which bridges the abstraction gap by translating the code back into a systematic and predictable naturalistic utterance. In a between-subjects, think-aloud study (n=24), we compare grounded abstraction matching to an ungrounded alternative based on previously established query framing principles. We find that the grounded approach improves end-users’ understanding of the scope and capabilities of the code-generating model, and the kind of language needed to use it effectively.",1.0,True,"code, programmer, code generation, user, system, model, approach, learning",True,0.9,Map natural language queries to Python code for data analysis in spreadsheets using a code-generating large language model (Codex),Participants mapped natural language queries to Python code for data analysis in spreadsheets using a code-generating large language model (Codex).,Beginner,Python,Data Science/Analytics,Data Analysis,Content Creation,Function,"Understanding of the scope and capabilities of the code-generating model, effectiveness of language used for queries",Codex code generator,Effectiveness of natural language queries in generating Python code for data analysis,True,True,0.9,1.0,0.8999999999999999,0.9299999999999999,6.570692777633667,
DPL6WW5D,CrossCode: Multi-level Visualization of Program Execution,"Hayatpur, Devamardeep; Wigdor, Daniel; Xia, Haijun",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581390,"Program visualizations help to form useful mental models of how programs work, and to reason and debug code. But these visualizations exist at a fixed level of abstraction, e.g., line-by-line. In contrast, programmers switch between many levels of abstraction when inspecting program behavior. Based on results from a formative study of hand-designed program visualizations, we designed CrossCode, a web-based program visualization system for JavaScript that leverages structural cues in syntax, control flow, and data flow to aggregate and navigate program execution across multiple levels of abstraction. In an exploratory qualitative study with experts, we found that CrossCode enabled participants to maintain a strong sense of place in program execution, was conducive to explaining program behavior, and helped track changes and updates to the program state.",0.9333333333333335,True,"code, programmer, debug, qualitative, design, system, model",True,0.7,Explore and utilize the CrossCode program visualization system to understand program execution in JavaScript,Explore and utilize the CrossCode program visualization system to understand program execution in JavaScript.,Expert,JavaScript,Web Development,Other,Code Comprehension,Module,"Participants' ability to maintain a sense of place in program execution, explain program behavior, and track changes in program state.",CrossCode web-based program visualization system,Understanding program execution visualization,True,False,0.7,1.0,0.95,0.8399999999999999,6.407674789428711,
WX53YUP9,"Log-it: Supporting Programming with Interactive, Contextual, Structured, and Visual Logs","Jiang, Peiling; Sun, Fuling; Xia, Haijun",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581403,"Logging is a widely used technique for inspecting and understanding programs. However, the presentation of logs still often takes its ancient form of a linear stream of text that resides in a terminal, console, or log file. Despite its simplicity, interpreting log output is often challenging due to the large number of textual logs that lack structure and context. We conducted content analysis and expert interviews to understand the practices and challenges inherent in logging. These activities demonstrated that the current representation of logs does not provide the rich structures programmers need to interpret them or the program’s behavior. We present Log-it, a logging interface that enables programmers to interactively structure and visualize logs in situ. A user study with novices and experts showed that Log-it’s syntax and interface have a minimal learning curve, and the interactive representations and organizations of logs help programmers easily locate, synthesize, and understand logs.",0.8666666666666667,True,"programming, programmer, user study, interview, interface, user, technique, learning",True,0.7,Use the Log-it logging interface to interactively structure and visualize logs while programming.,Participants used the Log-it logging interface to structure and visualize logs interactively while programming.,Mixed,,Software Engineering,,Tool Usage,,"Learning curve assessment and effectiveness in locating, synthesizing, and understanding logs",Log-it logging interface,,True,False,0.7,0.6,1.0,0.73,5.63200306892395,
W2KDLAWX,Colaroid: A Literate Programming Approach for Authoring Explorable Multi-Stage Tutorials,"Wang, April Yi; Head, Andrew; Zhang, Ashley Ge; Oney, Steve; Brooks, Christopher",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581525,"Multi-stage programming tutorials are key learning resources for programmers, using progressive incremental steps to teach them how to build larger software systems. A good multi-stage tutorial describes the code clearly, explains the rationale and code changes for each step, and allows readers to experiment as they work through the tutorial. In practice, it is time-consuming for authors to create tutorials with these attributes. In this paper, we introduce Colaroid, an interactive authoring tool for creating high quality multi-stage tutorials. Colaroid tutorials are augmented computational notebooks, where snippets and outputs represent a snapshot of a project, with source code differences highlighted, complete source code context for each snippet, and the ability to load and tinker with any stage of the project in a linked IDE. In two laboratory studies, we found Colaroid makes it easy to create multi-stage tutorials, while offering advantages to readers compared to video and web-based tutorials.",1.0,True,"programming, code, programmer, experiment, software, tool, system, approach, learning",True,0.7,Create multi-stage programming tutorials using the Colaroid authoring tool,Create multi-stage programming tutorials using the Colaroid authoring tool.,,Colaroid,Education/Learning,,Content Creation,Full Application,,"Colaroid authoring tool, linked IDE",,True,False,0.7,0.6,1.0,0.73,4.800976037979126,
P54UDXB3,Rapsai: Accelerating Machine Learning Prototyping of Multimedia Applications through Visual Programming,"Du, Ruofei; Li, Na; Jin, Jing; Carney, Michelle; Miles, Scott; Kleiner, Maria; Yuan, Xiuxiu; Zhang, Yinda; Kulkarni, Anuva; Liu, Xingyu; Sabie, Ahmed; Orts-Escolano, Sergio; Kar, Abhishek; Yu, Ping; Iyengar, Ram; Kowdle, Adarsh; Olwal, Alex",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581338,"In recent years, there has been a proliferation of multimedia applications that leverage machine learning (ML) for interactive experiences. Prototyping ML-based applications is, however, still challenging, given complex workflows that are not ideal for design and experimentation. To better understand these challenges, we conducted a formative study with seven ML practitioners to gather insights about common ML evaluation workflows.The study helped us derive six design goals, which informed Rapsai1, a visual programming platform for rapid and iterative development of end-to-end ML-based multimedia applications. Rapsai features a node-graph editor to facilitate interactive characterization and visualization of ML model performance. Rapsai streamlines end-to-end prototyping with interactive data augmentation and model comparison capabilities in its no-coding environment. Our evaluation of Rapsai in four real-world case studies (N=15) suggests that practitioners can accelerate their workflow, make more informed decisions, analyze strengths and weaknesses, and holistically evaluate model behavior with real-world input.",1.0,True,"programming, coding, experiment, application, design, model, evaluation, learning",True,0.8,Prototyping ML-based multimedia applications using the Rapsai visual programming platform,Prototyping ML-based multimedia applications using the Rapsai visual programming platform.,Mixed,Rapsai,Artificial Intelligence/ML,Multimedia Applications,Feature Development,Full Application,"Workflow acceleration, decision-making quality, model behavior evaluation",Rapsai visual programming platform,Prototyping and evaluating ML applications,True,True,0.8,1.0,0.9,0.88,8.189738988876343,
93KVRLL3,Visual StoryCoder: A Multimodal Programming Environment for Children?s Creation of Stories,"Dietz, Griffin; Tamer, Nadin; Ly, Carina; Le, Jimmy K; Landay, James A.",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3580981,"Computational thinking (CT) education reaches only a fraction of young children, in part because CT learning tools often require expensive hardware or fluent literacy. Block-based programming environments address these challenges through symbolic graphical interfaces, but users often need instructor support to advance. Alternatively, voice-based tools provide direct instruction on CT concepts but can present memory and navigation challenges to users. In this work, we present Visual StoryCoder, a multimodal tablet application that combines the strengths of each of these approaches to overcome their respective weaknesses. Visual StoryCoder introduces children ages 5–8 to CT through creative storytelling, offers direct instruction via a pedagogical voice agent, and eases use through a block-like graphical interface. In a between-subjects evaluation comparing Visual StoryCoder to a leading block-based programming app for this age group (N = 24), we show that Visual StoryCoder is more understandable to independent learners, leads to higher-quality code after app familiarization, and encourages personally meaningful projects.",0.9333333333333332,True,"programming, code, application, interface, user, tool, approach, evaluation, learning",True,0.8,Create stories using a multimodal tablet application (Visual StoryCoder) that combines block-based programming and voice-based instruction.,Participants created stories using a multimodal tablet application that combines block-based programming and voice-based instruction.,Beginner,Visual StoryCoder,Education/Learning,Story Creation,Content Creation,Module,"Understandability to independent learners, quality of code after familiarization, encouragement of personally meaningful projects",Visual StoryCoder application,Evaluating the effectiveness of a multimodal programming tool for young children,True,False,0.8,1.0,1.0,0.8999999999999999,6.895232200622559,
LUY6KRWB,Community Voice as Data: Affordances of Participatory Videos for International Program Development,"Saha, Manika; Bartindale, Tom; Varghese, Delvin; Lindsay, Stephen; Richardson, Dan; Ahmed, Syed Ishtiaque; Olivier, Patrick",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581458,"International program development is a complex process involving many stakeholders. Current international practice affords limited, if any, opportunities for direct community-led input into the program commissioning process, resulting in programs that may not meet the specific needs of communities on the ground. Community voice is one source of data that could help focus the design of effective development programs and interventions. However, development programs are primarily formulated based on representative and often quantitative data conducted by experts from outside the community. Through a participatory video production process with disadvantaged women farmers in rural Bangladesh, we explore the opportunities for including meaningful community voices in these institutionalized processes. We present practical design implications for how community-generated voices can act as rich data, establishing confidence, community bonds and senses of accountability to inform early stages of project development, and to specifically augment and contextualize other data sources.",0.3333333333333333,True,design,False,0.95,"The study focuses on participatory video production and community input in program development, with no mention of coding or programming tasks.",,,,,,,,,,,,,,,,,1.910952091217041,
JIUXM8LC,?What if everyone is able to program?? ? Exploring the Role of Software Development in Science Fiction,"Krings, Kevin; Bohn, Nino S.; Hille, Nora Anna Luise; Ludwig, Thomas",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581436,"For decades, research around emerging technologies has been inspired by science fiction and vice versa. While so far almost only the technologies themselves have been considered, we explore the underlying software development and programming approaches. We therefore conduct a detailed media content analysis of twenty-seven movies that examines the role of software development in science fiction by identifying and investigating new approaches to programming and how software development is conceptualized portrayed within science fiction scenes. With the additional analysis of eighteen design fiction stories exploring the scenario “What if everyone is able to program?”, we envision potential impacts of the democratization of software development on business and society. Our study opens new discussions and perspectives, by investigating the current vision of the future of programming and uncovers new approaches to software development which can serve as a starting point for further research in the HCI community.",0.6666666666666666,True,"programming, software development, software, analysis of, design, approach",True,0.0,Not specified (the study focuses on media content analysis of programming portrayal in science fiction rather than specific coding tasks),"The study focuses on media content analysis of programming portrayal in science fiction, rather than specific coding tasks.",,,Creative/Media,,,,,,Media content analysis of programming in science fiction,False,False,0.0,0.3,1.0,0.29000000000000004,7.053107976913452,
P5EI4NZB,"""Piece it together"": Insights from one year of engagement with electronics and programming for people with intellectual disabilities","Ellis, Kirsten; Kruesi, Lisa; Ananthanarayan, Swamy; Senaratne, Hashini; Lindsay, Stephen",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581401,"We present the results of one year spent engaging people living with intellectual disabilities with an electronics and programming package. The program was run in collaboration with a disability support organization and delivered by support workers. We evaluate key qualities of the package at three sites via ongoing communication and reflective interviews with five support workers, along with observation of sessions and contextual inquiry with eleven people with a range of disabilities. Our findings demonstrate the importance of physicality in enabling experiences by creating real-world analogues and supporting diverse group interactions; how groups support members’ attention, motivating each other, and allow space for coping mechanisms; and participants’ growing confidence and creativity in problem solving, and the emergence of self-directed activities. We discuss the importance of diverse repetition for skill development, how skills develop over the year, and pragmatic lessons for conducting a long-term research program with a disability support organization.",0.4666666666666666,True,"programming, interview, interaction",False,0.85,The study focuses on engagement and observation of participants with disabilities in a programming context but does not involve participants actively performing coding or programming tasks.,,,,,,,,,,,,,,,,,2.183568000793457,
